dataset,country_code,country,series,sector_code,unit,theme,period,value
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2013-Q4,4345202.942
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2014-Q1,4336780.046
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2014-Q2,4316276.734999999
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2014-Q3,4288588.255
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2014-Q4,4302805.188999999
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2015-Q1,4319492.147
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2015-Q2,4320225.701
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2015-Q3,4292930.533000001
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2015-Q4,4277289.791
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2016-Q1,4302797.891
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2016-Q2,4324512.66
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2016-Q3,4299845.908
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2016-Q4,4300988.948
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2017-Q1,4333335.615999999
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2017-Q2,4314348.786
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2017-Q3,4295306.172
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2017-Q4,4314488.433
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2018-Q1,4348097.8042
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2018-Q2,4368685.3169
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2018-Q3,4383741.984700001
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2018-Q4,4393120.4541
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2019-Q1,4423551.350000001
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2019-Q2,4471503.0478
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2019-Q3,4479340.7817
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2019-Q4,4463308.2243
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2020-Q1,4600828.5546
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2020-Q2,4727312.549
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2020-Q3,4722618.3323
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2020-Q4,4696952.5181
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2021-Q1,4761173.7855
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2021-Q2,4738238.2574
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2021-Q3,4758103.184
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2021-Q4,4852250.3785
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2022-Q1,4917882.1853
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2022-Q2,5025012.754600001
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2022-Q3,5150663.622099999
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2022-Q4,5116422.170999999
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2023-Q1,5133338.256338861
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2023-Q2,5136204.63079523
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2023-Q3,5106315.3188236505
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2023-Q4,5113385.80920022
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2024-Q1,5115025.41452796
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2024-Q2,5141134.699098261
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2024-Q3,5130950.27411272
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2024-Q4,5172391.477853
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2025-Q1,5201111.9473830005
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2025-Q2,5223139.16485
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2025-Q3,5237434.566831999
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2025-Q4,5277562.386407
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-01,2460513.5169199943
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-02,2475917.1007210403
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-03,2506715.433035281
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-04,2542420.8433382837
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-05,2544972.9557704497
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-06,2564066.403824001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-07,2586045.327028224
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-08,2598303.96629466
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-09,2635889.5896763103
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-10,2651545.287019818
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-11,2678119.8234300246
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2000-12,2687455.8027810007
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-01,2741479.6466713394
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-02,2752688.8048082218
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-03,2795799.3212221554
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-04,2811979.0301444964
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-05,2817449.2431985363
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-06,2851798.0635711146
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-07,2851589.5364110973
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-08,2832416.723896427
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-09,2866584.306556758
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-10,2869732.4906810056
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-11,2894953.0654173787
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2001-12,2903196.1718324823
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-01,2907137.954551456
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-02,2907357.5461494587
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-03,2932512.0756452484
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-04,2943918.1170682707
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-05,2945023.1211269866
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-06,2952542.307888403
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-07,2948813.889589037
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-08,2935270.4591623307
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-09,2948752.4971656185
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-10,2957988.4332393026
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-11,2961098.227697307
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2002-12,2965434.81981854
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-01,2973746.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-02,2979720.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-03,2980749.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-04,2989877.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-05,2986510.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-06,3006706.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-07,3004225.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-08,3010845.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-09,3007915.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-10,3011341.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-11,3026533.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2003-12,3036586.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-01,3042214.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-02,3041675.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-03,3055363.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-04,3076351.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-05,3085211.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-06,3093093.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-07,3102039.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-08,3095182.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-09,3104058.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-10,3122022.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-11,3140010.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2004-12,3152245.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-01,3169582.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-02,3173060.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-03,3189366.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-04,3215310.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-05,3234313.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-06,3283311.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-07,3309711.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-08,3296052.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-09,3322634.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-10,3344347.0
